woww	wow
lg	lagi
bnr2	benar-benar
psgn	pasangan
yg	yang
cocokkk	cocok
dr	dari
ujg	ujung
rmbut	rambut
smp	sampai
kki	kaki
kgn	kangen
liat	lihat
liat	lihat
kgn	kangen
mreka	mereka
yg	yang
dlu	dulu
yg	yang
pengen	pengin
y	ya
hayukk	hayo
gini	begini
segitunya	sebegitunya
pngn	pengin
ntab	mantab
mauu	mau
atuhhh	atuh
yukss	yuk
lihaatttt	lihat
yg	yang
ayoo	ayo
niiiihh	nih
liattt	lihat
cuyyy	cuy
dr	dari
gapernah	enggak pernah
bosen	bosan
liatiii	lihat
jombsss	jomblo
emesshhh	gemas
gemeessss	gemas
poollll	pol
gemesyak	gemas ya
pengen	pengin
gini	begini
bgtttt	banget
ko	kok
klo	kalo
kyk	kayak
gini	begini
yaaa	ya
cntiknya	cantinya
yaaa	ya
lucuuu	lucu
bngttt	banget
ngegmesin	menggemaskan
hndak	hendak
kh	kah
hndk	hendak
iiih	ih
lutunaa	lucunya
lucuuu	lucu
abiz	habis
bkin	bikin
gemes	gemas
ngga	enggak
ngareppppp	mengharap
aamiinin	amin
aja	saja
aq	aku
lht	lihat
fhoto	foto
yg	yang
imuutt	imut
abizzz	habis
jgn	jangan
tay	tahi
nyaaa	nya
bgt	banget
yg	yang
toketnya	teteknya
sampe	sampai
tumpe2	tumpah-tumpah
lenje	lenjeh
tuuuuh	tuh
cantinya	cantiknya
bgt	banget
gw	gue
kl	kalo
krn	karena
yg	yang
gw	gue
ga	enggak
aneh2	aneh-aneh
ga	enggak
macam2	macam-macam
ga	enggak
yg	yang
mbak"	mbak-mbak
ngatain	mengatai
lucuu	lucu
bgt	banget
mbaknyaahh	mbaknya
pyudara	payudara
gak	enggak
gk	enggak
ky	kaya
yg	yang
lenje	lenjeh
ap	apa
ajah	saja
bgt	banget
tu	itu
yg	yang
tu	itu
cewe	cewek
lenje	lenjeh
ngatain	mengatai
lenje	lenjeh
lenje	lenjeh
lenje	lenjeh
gak	enggak
gak	enggak
ditutupin	ditutupi
tp	tapi
gk	enggak
pake	pakai
tp	tapi
gak	enggak
bgitu	begitu
yaa	ya
ngomongnya	mengomongnya
gak	enggak
km	kamu
bgt	banget
pengen	pengin
sich	sih
cntik	cantik
bgt	banget
bgt	banget
bnget	banget
cantiik2	cantik-cantik
dech	deh
hati.a	hatinya
blm	belum
mk.a	makanya
gt	begitu
mlt.a	mulutnya
nyerocooooos	mencerocos
trus	terus
blg	bilang
tuk	untuk
org	orang
kyk.a	kayaknya
wkt	waktu
sklh	sekolah
dl	dulu
pljrn	pelajaran
srng	sering
ga	enggak
msk	masuk
yaaa	ya
org	orang
ngilang	menghilang
dikatain	dikatai
maluuu	malu
yaaaa	ya
yg	yang
ngalahin	mengalahkan
tu	itu
ap	apa
kk	kakak
brisi	berisi
tp	tapi
ttp	tetap
kk	kakak
cntik	cantik
ap	apa
ga	enggak
pake	pakai
aja	saja
loo	loh
kk	kakak
laa	lah
pkoknya	pokoknya
kk	kakak
slm	salam
knl	kenal
canti	cantik
y	ya
q	aku
kk	kakak
kk	kakak
astagfirullh	astagfirullah
nutupin	menutupi
amiin	amin
cntik	cantik
liat	lihat
hub	menghubungi
kmn	kemana
klo	kalo
bs	bisa
indo	indonesia
ni	ini
dung	dong
ori	orisinal
yu	yuk
bgt	banget
kakakaaaaaaaaaaaaaa	kakak
kaka	kakak
cantikkkkkkkk	cantik
cantiq	cantik
batwc	banget
kamyuhhh	kamu
yukk	yuk
dbwh	dibawah
rb	ribu
cantikk	cantik
sampe	sampai
pake	pakai
ga	enggak
yuuuk	yuk
yaa	ya
seneng	senang
yg	yang
padet	padat
gara2	gara-gara
makasih	terima kasih
yaa	ya
bukti2	bukti-bukti
bener	benar
say	sayang
gak	enggak
senenggg	senang
yg	yang
yukk	yuk
dr	dari
ngga	enggak
makasih	terima kasih
yaaa	ya
gak	enggak
pede	percaya diri
pengen	pengin
dapetin	mendapati
kepoin	mengepoi
ajaa	saja
belanjaa	belanja
disiniii	disini
hay	hai
temen2	teman-teman
mao	mau
tp	tapi
yg	yang
gak	enggak
murhan	murahan
yah	ya
prwtn	perawatan
wjh	wajah
yg	yang
bgettt	banget
dr	dari
negri	negeri
yg	yang
utk	untuk
bs	bisa
prwtn	perawatan
utk	untuk
mereka2	mereka-mereka
yg	yang
jg	juga
pakke	pakai
uda	sudah
pd	pada
pake	pakai
byk	banyak
prwtn	perawatan
yg	yang
utk	untuk
jgn	jangan
yah	ya
yg	yang
utk	untuk
dipake	dipakai
ga	enggak
bkin	bikin
ktergantungan	ketergantungan
dapet	dapat
tp	tapi
yg	yang
pake	pakai
utk	untuk
prwatn	perawatan
wjh	wajah
dr	dari
org	orang
jg	juga
uda	sudah
pake	pakai
ngebuktiin	membuktikan
hslnya	hasilnya
dr	dari
mrk	mereka
yg	yang
uda	sudah
pake	pakai
utk	untuk
awal2	awal-awal
ga	enggak
setabil	stabil
temen2	teman-teman
nyoba	mencoba
ihh	ih
beneran	benaran
ga	enggak
temen2	teman-teman
maksih	terima kasih
yah	ya
ga	enggak
gratiss	gratis
gak	enggak
ka	kak
kaka	kakak
gak	enggak
udah	sudah
rekomendasiin	merekomendasikan
tetep	tetap
bbrpa	beberapa
gara"	gara-gara
yg	yang
benar"	benar-benar
buktiin	membuktikan
ajaibb	ajaib
aja	saja
ga	enggak
nyangka	menyangka
seneng	senang
pokonya	pokoknya
mksh	terima kasih
setujuuu	setuju
klo	kalo
digituin	dibegitukan
klw	kalau
ank	anak
gak	enggak
mw	mau
sekolahin	sekolahkan
ajarin	ajarkan
sendirii	sendiri
sendirii	sendiri
akn	akan
mrnghadapi	menghadapi
yg	yang
dr	dari
yg	yang
dr	dari
tp	tapi
bgmn	bagaimana
apalg	apalagi
naka	nakal
tdk	tidak
jd	jadi
sdkt	sedikit
aja	saja
besar2in	besar-besarkan
cb	coba
dech	deh
mbk	mbak
bgmana	bagaimana
s*inetr*n	sinetron
yg	yang
yg	yang
bs	bisa
mrusak	merusak
yg	yang
cm	cuma
ttg	tentang
gak	enggak
sm	sama
yg	yang
d	di
sbg	sebagai
tdk	tidak
ka	kak
sy	saya
jd	jadi
jd	jadi
sy	saya
mndpt	mendapat
dr	dari
pst	pasti
sy	saya
skt	sakit
tp	tapi
tdk	tidak
jgn	jangan
yg	yang
sebnyak	sebanyak
dpn	depan
org	orang
yg	yang
yg	yang
terburu2	terburu-buru
baik2	baik-baik
nanya	bertanya
sampe	sampai
udah	sudah
udah	sudah
ngumpat2	mengumpat-ngumpat
nantangin	menantang
aja	saja
gtu	begitu
ngegampar	menggampar
anak2	anak-anak
gitu	begitu
wktu	waktu
d	di
pake	pakai
pake	pakai
trs	terus
d	di
gada	enggak ada
org	orang
yg	yang
sampe	sampai
ngelaporin	melaporkan
yg	yang
d	di
salahin	salahkan
krna	karena
yg	yang
gabisa	enggak bisa
gada	enggak ada
yg	yang
ni	ini
jd	jadi
yg	yang
hnya	hanya
orng	orang
yg	yang
pengajar..konsekwensi	konsekuensi
muliany	mulianya
bkn	bukan
kl	kalo
mungki	mungkin
tp	tapi
kl	kalo
bs	bisa
jgn	jangan
lngsung	langsung
tp	tapi
sj	saja
tsb	tersebut
u	untuk
jg	juga
ad	ada
sbg	sebagai
t4	tempat
bacahalah	bacalah
yaak	ya
dikerasin	dikerasi
trus	terus
lgsg	langsung
gtu	begitu
skrg	sekarang
udh	sudah
dikerasin	dikerasi
gk	enggak
skrg	sekarang
gkkan	enggak akan
ngulangin	mengulangi
lebayy	lebay
bgt	banget
lgsg	langsung
org	orang
yg	yang
jgn	jangan
gk	enggak
sendirii	sendiri
ajaa	saja
bedaa	beda
skrg	sekarang
sm	sama
pnyaa	punya
gk	enggak
sendirii	sendiri
yaa	ya
gk	enggak
bol3h	boleh
pake	pakai
gak	enggak
org	orang
ngadu	mengadu
ketauan	ketahuan
ma	sama
org	orang
dimarahin	dimarahi
manjain	memanjakan
org	orang
manjain	memanjakan
gt	begitu
aja	saja
ma	sama
skrng	sekarang
sdh	sudah
krn	karena
manjain	memanjakan
gini	begini
krn	karena
yg	yang
gak	enggak
sm	sama
yg	yang
dgn	dengan
jg	juga
org	orang
yg	yang
yg	yang
utk	untuk
yg	yang
bs	bisa
bs	bisa
sm	sama
gk	enggak
utk	untuk
boleh2	boleh-boleh
dgn	dengan
yg	yang
hallo	halo
gak	enggak
nyelesain	menyelesaikan
troma	trauma
kerasin	kerasi
jdi	jadi
jgn2	jangan-jangan
mcm	macam
bgni	begini
ngomong	mengomong
sj	saja
ga	enggak
emg	memang
sm	sama
sy	saya
kamu2	kamu-kamu
cewer	jewer
bilanh	bilang
gak	enggak
kasi	kasih
gak	enggak
tdk	tidak
ngapain	mengapa
sy	saya
org	orang
yg	yang
sdh	sudah
yg	yang
jwban	jawaban
org2	orang-orang
mmg	memang
yg	yang
skg	sekarang
gak	enggak
gak	enggak
nuduh	menuduh
gak	enggak
nuduh	menuduh
suk	suka
emang	memang
emang	memang
ngatur	mengatur
yg	yang
gmna	bagaimana
msih	masih
sampe	sampai
skrg	sekarang
org	orang
rajin2	rajin-rajin
sy	saya
tpi	tapi
sy	saya
sy	saya
sm	sama
ga	enggak
bacaaaa	baca
gw	gue
kekk	kayak
jungkiir	jungkir
kekk	kayak
ga	enggak
gunaa	guna
bales2in	balas-membalas
orangg	orang
ga	enggak
kerjaan	pekerjaan
laen	lain
ajaa	saja
yg	yang
yaaaa	ya
dr	dari
tauuuu	tau
bls	balas
skg	sekarang
ga	enggak
yaa	ya
ni	nih
koment	komentar
emang	memang
yg	yang
tdk	tidak
km	kamu
untk	untuk
tp	tapi
tdk	tidak
ank	anak
byak	banyak
kepad	kepada
ank	anak
bantuanny	bantuannya
bkn	bukan
ttinggi	tinggi
dg	dengan
yg	yang
bgt	banget
jgn	jangan
smpe	sampai
yg	yang
d	di
ajah	saja
gara2	gara-gara
perna	pernah
d	di
cmn	cuman
grgr	gara-gara
g	enggak
jari2	jari-jari
d	di
pukulin	pukuli
pake	pakai
yg	yang
smpe	sampai
jd	jadi
bengkak2	bengkak-bengkak
bgs	bagus
jgn	jangan
smpe	sampai
ank	anak
sm	sama
sperti	seperti
kasian	kasihan
klo	kalo
g	enggak
d	di
komentarin	komentari
jgn	jangan
d	di
jd	jadi
bijak2	bijak-bijak
dlm	dalam
ga	enggak
ga	enggak
yg	yang
lama2	lama-lama
yg	yang
ga	enggak
menurur	menurut
tipe2	tipe-tipe
anak2	anak-anak
anak2	anak-anak
diliat	dilihat
liatlah	lihatlah
teguran2	teguran-teguran
yg	yang
gr2	gara-gara
d	di
skrg	sekarang
gamau	enggak mau
skolah	sekolah
pdahal	padahal
msh	masih
klas	kelas
krena	karena
tkut	takut
grunya	gurunya
skrg	sekarang
pndah	pindah
tdk	tidak
bs	bisa
hrs	harus
ortu	orang tua
dlm	dalam
udh	sudah
ngerasain	merasai
tp	tapi
dlm	dalam
org	orang
yg	yang
bs	bisa
bs	bisa
liat2	lihat-lihat
tp	tapi
ga	enggak
masukin	memasukkan
org	orang
dilindungin	dilindungi
yg	yang
trs	terus
jagain	menjaga
org	orang
kasiaannn	kasihan
kmu	kamu
yg	yang
miring2	miring-miring
jd	jadi
dech	deh
baek	baik
ajja	saja
yg	yang
tinggalin	tinggalkan
ga	enggak
gini	begini
klo	kalo
dri	dari
ttg	tentang
yg	yang
kmu	kamu
ga	enggak
klo	kalo
ksh	kasih
dlm	dalam
kaitannha	kaitannya
ama	sama
yg	yang
pd	pada
sud	sudah
silahkan	silakan
yg	yang
pinter	pintar
dgn	dengan
yg	yang
rana	ranah
sampw	sampai
rana	ranah
thdp	terhadap
knp	kenapa
tsb	tersebut
yg	yang
krn	karena
scr	secara
yg	yang
tdk	tidak
utk	untuk
tsb	tersebut
yg	yang
mrk	mereka
pdhl	padahal
yg	yang
bhkn	bahkan
utk	untuk
spy	supaya
tdk	tidak
mrk	mereka
yg	yang
jgn	jangan
kpd	kepada
mrk	mereka
mrk	mereka
knp	kenapa
mrk	mereka
justeru	justru
sbg	sebagai
utk	untuk
yg	yang
klo	kalo
apah	apa
dak	indak
ngatai	mengatai
kln	kalian
sukak	suka
ahh	ah
alloh	allah
ihh	ih
ngajar	mengajar
termuraaahhhh	termurah
udh	sudah
brkunjun	berkunjung
d	di
bgt	banget
bgt	banget
yg	yang
suarranya	suaranya
dri	dari
sihh	sih
bgt	banget
klo	kalo
bner"	benar-benar
suarranya	suaranya
iu	itu
bgussss	bagus
kmaren	kemarin
ambilin	mengambil
yg	yang
syg	sayang
dgn	dengan
yg	yang
sy	saya
ttg	tentang
mdh2an	mudah-mudahan
anak2	anak-anak
mmg	memang
anak2	anak-anak
dgn	dengan
biasaaaa	biasa
luuuaar	luar
yg	yang
ortu	orang tua
dg	dengan
bngt	banget
sma	sama
yaa	ya
seneng	senang
kereenn	keren
bgt	banget
bgtt	banget
ma	sama
km	kamu
yg	yang
redho	ridho
rezki	rezeki
yg	yang
kepd	kepada
org	orang
luaarrr	luar
biasaaa	biasa
kaka	kakak
jadilh	jadilah
org	orang
yg	yang
org	orang
na	nya
kata2nya	kata-katanya
bnr	benar
terhaaru	terharu
slalu	selalu
kaka	kakak
ttg	tentang
papahnya	papanya
orrunya	orang tuanya
udah	sudah
bnyak	banyak
aj	saja
ortu	orang tua
ga	enggak
org	orang
kyak	kayak
gmn	bagaimana
pke	pakai
klo	kalo
koment	komentar
it	itu
koment	komentar
bnget	banget
ama	sama
bgt	banget
ma	sama
bgt	banget
bgt	banget
ama	sama
kka	kakak
dri	dari
flm	film
ampe	sampai
skrang	sekarang
pake	pakai
mb	mbak
kalok	kalo
adek2	adek-adek
jd	jadi
sndri	sendiri
dr	dari
km	kamu
km	kamu
rb	ribu
kk	kakak
tteh	teteh
knpa	kenapa
gak	enggak
loncatt	loncat
aja	saja
hampasss	hempas
lagiii	lagi
cantiiik	cantik
dlu	dulu
kt	kita
kyk	kayak
gini	begini
aja	saja
yaa	ya
cantikk	cantik
tehh	teh
bunga2	bunga-bunga
apaaan	apaan
lagiii	lagi
ampuuunn	ampun
daaah	dah
skali	sekali
yg	yang
sma	sama
gini	begini
bangetttttt	banget
ituh	itu
cantikk	cantik
cantikk	cantik
cantiiikk	cantik
udh	sudah
msh	masih
bgt	banget
bgt	banget
gak	enggak
gak	enggak
diliat	dilihat
km	kamu
liat	lihat
kereen	keren
suaranyaaaaaa	suaranya
bener2	benar-benar
idoolaaa	idola
ga	enggak
ga	enggak
udah	sudah
bgt	banget
pake	pakai
bangettt	banget
pulaa	pula
penyanyi2	penyanyi-penyanyi
beneran	benaran
yg	yang
wiih	wih
iyaa	iya
apaa	apa
miriip	mirip
tp	tapi
lbh	lebih
jd	jadi
aja	saja
bs	bisa
jd	jadi
emang	memang
blm	belum
dr	dari
yah	ya
item	hitam
uhhh	uh
bet	banget
kaaaa	kak
kaa	kak
sayanggg	sayang
kaa	kak
liat	lihat
allaahh	allah
ajahhh	saja
ajaaa	saja
trims	terima kasih
yah	ya
dehat	sehat
aminnnnn	amin
bgt	banget
bgt	banget
salammmm	salam
hari2	hari-hari
yg	yang
sihat	sehat
aminnn	amin
yg	yang
aja	saja
pengen	pengin
yg	yang
ayoo	ayo
buruann	buruan
d	di
makasih	terima kasih
udh	sudah
saranin	menyarankan
pake	pakai
jd	jadi
gak	enggak
lg	lagi
jd	jadi
pede	percaya diri
skrng	sekarang
mksh	terima kasih
silahkan	silakan
yg	yang
yg	yang
rekomendain	rekomendasikan
kaka	kakak
makasih	terima kasih
cntik	cantik
bngt	banget
trussss	terus
yah	ya
tp	tapi
blm	belum
tdk	tidak
yukk	yuk
cpt	cepat
kmi	kami
kakakuuu	kakakku
aamiin	amin
bgt	banget
yukk	yuk
ngalir	mengalir
teruss	terus
lohh	loh
bangt	banget
ga	enggak
ga	enggak
karna	karena
cepet	cepat
pesen	pesan
bgt	banget
pengen	pengin
gak	enggak
beneran	beneran
ga	enggak
nyesel	menyesal
rekomendasiin	merekomendasikan
kaka	kakak
kaka	kakak
gak	enggak
nyesel	menyesal
udah	sudah
rekomendasiin	merekomendasikan
ga	enggak
pede	percaya diri
makasih	terima kasih
boong	bohong
ktmu	ketemu
ga	enggak
nyangka	menyangka
pake	pakai
hub	hubungi
makasih	terima kasih
ksh	kasih
jd	jadi
gak	enggak
lg	lagi
pake	pakai
mksh	terima kasih
utk	untuk
jgn	jangan
yah	ya
yg	yang
berkwalitas	berkunjung
dr	dari
bkn	bukan
prwtn	perawatan
jg	juga
pake	pakai
ak	aku
udh	sudah
pake	pakai
byk	banyak
yg	yang
udh	sudah
ngebuktiin	membuktikan
yah	ya
dr	dari
ak	aku
prawatan	perawatan
utk	untuk
lbh	lebih
mbk	mbak
aj	saja
y	ya
mkin	makin
cntk	cantik
sj	saja
yg	yang
gak	enggak
mo	mau
pnya	punya
gak	enggak
mslh	masalah
dimao	dimau
gak	enggak
hrs	harus
klo	kalo
cm	cuma
utk	untuk
dapetin	mendapati
wjh	wajah
pantes	pantas
dijadiin	dijadikan
prwtn	perawatan
dr	dari
udah	sudah
yg	yang
yg	yang
ny	nya
uda	sudah
pd	pada
pake	pakai
silahkn	silakan
dl	dulu
ak	aku
ajha	saja
utk	untuk
silahkan	silakan
kaka	kakak
yuuk	yuk
kasiatnya	khasiatnya
iyah	iya
nyaranin	menyarankan
rekomendasiin	merekomendasikan
udah	sudah
minyak"an	minyak-minyakan
gitu	begitu
ga	enggak
pake	pakai
bgt	banget
gak	enggak
suksess	sukses
slalu	selalu
ka	kak
jg	juga
gak	enggak
seneng	senang
ka	kak
makasih	terima kasih
udh	sudah
rekomendasiin	merekomendasikan
pede	percaya diri
ga	enggak
nyangka	menyangka
prodak	produk
prodak	produk
ga	enggak
nyesel	menyesal
ga	enggak
trasa	terasa
minpi	mimpi
bner2	benar-benar
gak	enggak
nyangka	menyangka
gak	enggak
mutihin	memutihkan
ak	aku
gak	enggak
ka	kak
gak	enggak
makasih	terima kasih
gak	enggak
th	tahun
udh	sudah
jd	jadi
th	tahun
msh	masih
smster	semester
sdh	sudah
th	tahun
udah	sudah
woww	wow
ntar	entar
thn	tahun
emang	memang
th	tahun
uga	juga
kmren	kemarin
lucuu	lucu
ucull	lucu
aamiin	amin
ngomong"	ngomong-ngomong
thn	tahun
udehh	sudah
sampe	sampai
skrang	sekarang
ucul	lucu
bnr	benar
lucuk	lucu
smg	semoga
lucuu	lucu
lucuuu	lucu
bgt	banget
bkn	bukan
yaaa	ya
jan	jangan
jd	jadi
yaa	ya
thn	tahun
masi	masih
pakek	pakai
pake	pakai
kk	kakak
pakek	pakai
orng	orang
orng	orang
pakek	pakai
yah	ya
kk	kakak
ka	kak
klo	kalo
pke	pakai
cntik	cantik
syngnya	sayangnya
klo	kalo
bnr	benar
pake	pakai
tauu	tau
dipermainin	dipermainkan
bngt	banget
kl	kalo
kasiatnya	khasiatnya
kocakkk	kocak
pake	pakai
hijabb	hijab
dasarrr	dasar
ajaaa	saja
tp	tapi
jgn	jangan
waaaaw	wow
bngt	banget
kk	kakak
klau	kalau
cannnnntikkkkkkk	cantik
bangettt	banget
mukax	mukanya
gitu	begitu
cantikx	cantiknya
fatanik	fanatik
bngt	banget
mba	mbak
jgn	jangan
pake	pakai
protestin	protestan
bkn	bukan
protestin	protestan
kakau	kalau
yg	yang
kk	kakak
slh	salah
marh	marah
kk	kakak
bener	benar
ka	kak
pk	pakai
ka	kak
emngnya	memangnya
pakek	pakai
cantiknyaa	cantiknya
klo	kalo
pke	pakai
darpada	daripada
bgt	banget
cooooooocok	cocok
klw	kalau
pkk	pakai
jgn	jangan
ka	kak
kaka	kakak
kaka	kakak
sling	saling
pake	pakai
ga	enggak
kk	kakak
pake	pakai
agama'ny	agamanya
yg	yang
bilng	bilang
tp	tapi
aq	aku
gk	enggak
prcy	percaya
klw	kalau
kk	kakak
kk	kakak
org	orang
pantes	pantas
emang	memang
tetep	tetap
lurusin	meluruskan
kk	kakak
pake	pakai
gak	enggak
gimana	bagaimana
gak	enggak
aja	saja
aja	saja
tp	tapi
bgt	banget
d	di
pake	pakai
aja	saja
biri	biru
bgt	banget
d	di
pake	pakai
jd	jadi
yg	yang
nti	nanti
aamiin	amin
kaa	kak
gmn	bagaimana
blm	belum
prnh	pernah
yg	yang
pake	pakai
luco	lucu
woow	wow
aq	aku
jg	juga
ultha	ulang tahun
aja	saja
yuuu	yuk
batikk	batik
alloh	allah
q	ku
jdi	jadi
gemes	gemas
yg	yang
aja	saja
pake	pakai
arab2	arab-arab
sm	sama
yg	yang
arab2	arab-arab
gitu	begitu
kl	kalo
udah	sudah
yg	yang
pake	pakai
aja	saja
makasi	terima kasih
donk	dong
aja	saja
jd	jadi
ultah	ulang tahun
yg	yang
blm	belum
dipake	dipakai
ama	sama
anak2	anak-anak
yg	yang
aja	saja
syg	sayang
udh	sudah
ga	enggak
lg	lagi
udh	sudah
luchu	lucu
pake	pakai
baguss	bagus
lucuuuu	lucu
bgt	banget
jd	jadi
aja	saja
ajah	saja
aja	saja
abes	habis
duhh	duh
liat	lihat
sedihhh	sedih
yeee	ya
syang	sayang
pinter	pintar
ngasi	mengasih
liat	lihat
gasih	enggak sih
qta	kita
mo	mau
nda	indak
sm	sama
cb	coba
anak2	anak-anak
pengen	pengin
naaaak	nak
jgn	jangan
astagaa	astaga
ngakak	mengakak
akuuu	aku
astafirullah	astagfirullah
msuk	masuk
peragain	peragakan
shayyy	say
anjaayy	anjay
shay	say
ga	enggak
ngilerrrr	mengiler
trus	terus
d	di
jgn	jangan
shay	say
bayangin	bayangkan
gak	enggak
woyyy	woy
ga	enggak
jg	juga
skrg	sekarang
ga	enggak
shaaaay	say
hempaass	hempas
dtg	datang
sayyy	say
bener	benar
tar	entar
kek	kayak
gini	begini
jgan	jangan
shayy	say
syantiek	cantik
njay	anjay
hehh	eh
temen	teman
qt	kita
cantik2	cantik-cantik
kam	kamu
liat	lihat
baguss	bagus
bngt	banget
gw	gue
elu	lu
yg	yang
nggak	enggak
inget	ingat
ingeet	ingat
inget	ingat
ga	enggak
sblh	sebelah
gw	gue
sblh	sebelah
nyaa	nya
gag	enggak
nawarin	menawari
ni	ini
amiiiiin	amin
tetep	tetap
jauhhh	jauh
udh	sudah
bgtttt	banget
baguss	bagus
waaahhh	wah
gini	begini
yah	ya
ajakin	mengajak
ntar	entar
gak	enggak
mntn	mantan
dlm	dalam
yaa	ya
ade	adek
liatnya	lihatnya
pd	pada
ngakak	mengakak
ngakak	mengakak
ihhh	ih
aje	saja
luhhh	lu
nyet	monyet
yooookkk	yuk
yg	yang
gw	gue
mksd	maksud
yg	yang
d	di
kyk	kayak
jrnk	jarang
jelas"	jelas-jelas
cow	cowok
kayax	kayak
km	kamu
yg	yang
dblkng	dibelakang
mksd	maksud
gw	gue
ngapain	mengapai
anjirr	anjir
mirippp	mirip
sangattt	sangat
iyap	iya
mayann	lumayan
indo	indonesia
ngikutin	mengikuti
bener	benar
autuhh	tau tuh
ga	enggak
seneng	senang
ae	saja
atutt	takut
ga	enggak
ama	sama
kyk	kayak
bgt	banget
mirippp	mirip
bgtttt	banget
kek	kayak
gini	begini
ketara	tertara
bgt	banget
yg	yang
blg	bilang
kek	kayak
giniii	begini
looo	loh
bgt	banget
sma	sama
g	enggak
liat	lihat
bnget	banget
ma	sama
cntik	cantik
pingin	pengin
lgsung	langsung
bgt	banget
mbaaass	mbak
bund	bunda
g	enggak
tetep	tetap
bangeeettt	banget
almh	almarhumah
temenkuuh	temanku
mmg	memang
suami'y	suaminya
alm	almarhum
ori	orisinal
bgt	banget
bgt	banget
bngeeeetttt	banget
tp	tapi
emg	memang
y	ya
dr	dari
sm	sama
yg	yang
y	ya
entr	entar
kyax	kayak
ap	apa
ea	ya
cuantikkk	cantik
mksdnya	maksudnya
yg	yang
cwe	cewek
aja	saja
klo	kalo
yg	yang
cwo	cowok
aja	saja
gak	enggak
namain	namai
ga	enggak
aja	saja
ato	atau
ato	atau
ato	atau
ato	atau
ato	atau
ato	atau
ato	atau
ato	atau
kaaaaaaaaaakkkkkkkkkkk	kak
ato	atau
aja	saja
aja	saja
item	hitam
kasi	kasih
aj	saja
klo	kalo
kucing'y	kucingnya
nama'in	namai
panggilan'ya	panggilannya
klo	kalo
kucing'y	kucingnya
nama'in	namai
panggilan'y	panggilannya
kereen	keren
gak	enggak
ka	kak
utk	untuk
yg	yang
cwo	cowok
klo	kalo
cwe	cewek
z	saja
aja	saja
aja	saja
kalw	kalau
beneran	benaran
gt	begitu
gimana	bagaimana
yg	yang
tips2	tips-tips
serem	seram
serem	seram
tp	tapi
ttp	tetap
ka	kak
alu	aku
bgt	banget
pake	pakai
aja	saja
ngerrrriiii	ngeri
tetep	tetap
saranin	sarankan
pake	pakai
udah	sudah
keliatan	kelihatan
aja	saja
karna	karena
ngga	enggak
bener2	benar-benar
gak	enggak
nyesel	menyesal
ayooo	ayo
aja	saja
gw	gue
gini	begini
model2	model-model
dgn	dengan
utk	untuk
bener	benar
ngriii	mengiri
amatt	amat
tetep	tetap
smpai	sampai
orang2	orang-orang
cantikkkk	cantik
ngelahirin	melahirkan
paksain	memaksakan
biasaa	biasa
pengen	pengin
besarin	membesarkan
hub	hubungi
aja	saja
bgt	banget
pake	pakai
kox	kok
gak	enggak
pake	pakai
kaka	kakak
bener	benar
yg	yang
kaka	kakak
saranin	sarankan
gak	enggak
ka	kak
bner	benar
kaka	kakak
saranin	sarankan
bner	benar
makasih	terima kasih
yah	ya
ka	kak
wihhh	wih
tetep	tetap
ga	enggak
th	teh
tmbah	tambah
cntikk	cantik
pkee	pakai
pake	pakai
ka	kak
aamiin	amin
gini	begini
pake	pakai
sllu	selalu
biasaa	biasa
yaa	ya
cantiikkkk	cantik
bgttt	banget
klo	kalo
smga	semoga
smkin	semakin
bnyk	banyak
amiiiiinnn	amin
ndak	indak
bgmna	bagaimana
ssorg	seseorang
d	di
hdpn	hadapan
yg	yang
tsb	tersebut
dg	dengan
smua	semua
liat	lihat
foto2	foto-foto
yg	yang
yg	yang
aminn	amin
dg	dengan
smakin	semakin
mnambh	menambah
ktaatan	ketaatan
pd	pada
dr	dari
dg	dengan
kemaren	kemarin
liat	lihat
mba	mbak
yaa	ya
ka	kak
ka	kak
ga	enggak
stju	setuju
krna	karena
karna	karena
ka	kak
cantikkkkkk	cantik
ga	enggak
dilepas2	dilepas-lepas
yaa	ya
tehhh	teh
istiqomahhh	istikamah
tehhhh	teh
udah	sudah
engga	enggak
pokonya	pokoknya
prodaknya	produknya
bgt	banget
ga	enggak
krn	karena
udah	sudah
dlm	dalam
gak	enggak
emang	memang
ga	enggak
kaka	kakak
y	ya
emng	memang
yah	ya
pke	pakai
gk	enggak
yg	yang
ngerii	ngeri
bangett	banget
dahh	dah
ngiri	mengiri
aja	saja
liat	lihat
ga	enggak
tdk	tidak
yg	yang
bngt	banget
kaka	kakak
kk	kakak
kk	kakak
kk	kakak
imutt	imut
amu	kamu
nahh	nah
cntikk	cantik
mauuuuuuu	mau
kaka	kakak
jilbb	jilbab
d	di
g	enggak
pake	pakai
mw	mau
liat	lihat
aj	saja
tmn	teman
ndut	gendut
udh	sudah
ngecek	mengecek
blom	belum
yah	ya
gada	enggak ada
kerjaan	pekerjaan
bgt	banget
ngecek	mengecek
ndut	gendut
psti	pasti
penasarn	penasaran
jg	juga
cuyy	cuy
astauviruloh	astagfirullah
binggo	banget
kaakk	kak
donk	dong
bnget	banget
udah	sudah
nyaa	nya
gk	enggak
bnyk	banyak
bgt	banget
kka	kakak
paaak	pak
diajarin	diajari
yg	yang
ngikutin	mengikuti
aja	saja
gawl	gaul
kecr	kece
gilaaa	gila
iih	ih
lucuuu	lucu
org	orang
yg	yang
